0 - 0 do 50 m
1 - 50 do 100 m
2 - 100 do 200 m
3 - 200 do 300 m
4 - 300 do 600 m
5 - 600 do 1000 m
6 - 1000 do 1500 m
7 - 1500 do 2000 m
8 - 2000 do 2500 m
9 - powyżej 2500 m lub brak chmur
/ - wysokość podstawy chmur nieznana
