00 - <0,1
10 - 1,0
20 - 2,0
30 - 3,1
40 - 4,1
50 - 5,0
64 - 14
74 - 24
84 - 50
90 - <0,05
01 - 0,1
11 - 1,1
21 - 2,1        
31 - 3,1
41 - 4,1
51 - 5,1
65 - 15
75 - 25
85 - 55
91 - 0,05
02 - 0,2
12 - 1,2
22 - 2,2
32 - 3,2
42 - 4,2
56 - 6
66 - 16
76 - 26
86 - 60
92 - 0,2
03 - 0,3         
13 - 1,3        
23 - 2,3
33 - 3,3         
43 - 4,3
57 - 7
67 - 17
77 - 27
87 - 65
93 - 0,5
04 - 0,4
14 - 1,4
24 - 2,4
34 - 3,4
44 - 4,4
58 - 8
68 - 18
78 - 28
88 - 70
94 - 1
05 - 0,5
15 - 1,5
25 - 2,5
35 - 3,5
45 - 4,5
59 - 9
69 - 19
79 - 29
89 - >70
95 - 2
06 - 0,6
16 - 1,6
26 - 2,6
36 - 3,6
46 - 4,6
60 - 10
70 - 20
80 - 30
96 - 4
07 - 0,7
17 - 1,7
27 - 2,7
37 - 3,7
47 - 4,7
61 - 11
71 - 21
81 - 35
97 - 10
08 - 0,8
18 - 1,8
28 - 2,8
38 - 3,8
48 - 4,8
62 - 12
72 - 22
82 - 40
98 - 20
09 - 0,9         
19 - 1,9
29 - 2,9
39 - 3,9
49 - 4,9
63 - 13
73 - 23
83 - 45
99 - >50
// - brak danych
